review,aspect,aspect_encoded
"impressive pictures being filmed under water, in the air or the Arctic",Cinematography,0
"deeper characterisation', ""such as Brian Epstein trying to hide the fact that he has been 'queer-bashed,' only to find out that the band knew he was Gay all along."", ""My favourite scene, which does have some basis in fact, is where at an audition Stuart Sutcliffe has just bought his bass guitar but can't play it, so he stands with his back to the impresario and tries faking it, but gets caught.""",Characters,1
"both Leo Gorcey and Huntz Hall would have better moments', 'the best of which tend to come here when they ad-lib",Characters,1
"strange feeling of watching some 70s TV series, due to the filter and the musical score",Cinematography,0
"The animation is stunning.', 'Very artistic, odd and dark.",Cinematography,0
"The three unknown actors do a great job with pretty demanding roles', 'the characters act realistically in the situation and the dialogue seems natural and not forced",Characters,1
"""The clever thought-provoking way of sending violence back into the audience's face.""",Story,2
I never thought anything as mundane as the simple sale of a music box could leave me catching my breath with excitement.,Story,2
"Let me begin by expressing my admiration for a perfect portrayal by Reese Witherspoon.', 'That her performance stands out in the excellent cast is praise indeed.",Characters,1
"The characters are quirky and feel like real people', 'you may even find endearing as I did",Characters,1
The restored version I viewed used tinting to increase the spooky atmosphere.,Cinematography,0
"Each show is an adventure', 'the Doodlebops do not try to change the world with preachy messages all they do is have fun while sorting out everyday life challenges that the young child may relate to",Story,2
"my dad kept wanting to talk about himself and things in his life he feels he screwed up', 'my dad is not a reticent man, but I was surprised that he wanted to talk about mistakes he thinks he made.",Characters,1
"each characters', 'nice characters and performs', 'hoped more definitions about characters stories",Characters,1
Watching a young Combs at work is great but I wish he had had more lines.,Characters,1
"This movie has about as much entertainment value as getting a root canal.', 'It approaches the abyssmal depths of bad movie making, and then gets even worse.",Story,2
"“Jane Fonda does one Hell of a fine job”, “DeNiro is his usual superb self”],",Characters,1
"""the characters don't show any feelings toward each other""",Characters,1
considerably more real-time footage of blimps etc.,Cinematography,0
"terrible filming and MTV like style', 'slow rain drop shots",Cinematography,0
"Great acting', 'Vincent Ventresca', 'made Thomas character very attractive",Characters,1
"much of it was filmed in my home town of Regina, Saskatchewan",Cinematography,0
The film has the visuals,Cinematography,0
"that guy is older than 50 and so far he almost only played in mediocre TV series', 'he is the living proof of what a great caster Tarrantino is",Characters,1
"None],",Cinematography,0
"""the strange premise, that somehow, having survived the tornado and being apparently incapable of happiness, these people are lucky, and yet don't know quite what to do with their luck""",Story,2
"the story soon descends into a bizarre sexual fever-dream', 'I am intentionally not giving a full description of the most important parts of the plot as they simply have to be seen to be believed",Story,2
the editing in this film did a very good job of making her dancing look not only natural but beautiful,Cinematography,0
"The camera work is out of focus at times and always shaky.', 'It looks as if it was shot on video.",Cinematography,0
"A straight-forward X File that shows that action is always the equal of intelligence', ""it's a standalone X File that even non-fans could happen upon and enjoy""",Story,2
"Only Cross of Iron beats this for tension and story.', 'This is one of the best war films ever.",Story,2
"Douglas and Blondell were both very talented and attractive people who usually delivered, even when the material was not the greatest.",Characters,1
"the plot may not be entirely unique', 'the movie has enough charm to make sure you keep watching.', 'ensure the audience is behind their almost impossible quest to reach the end of the world and destroy the dragon",Story,2
I loved the way this film was shot.,Cinematography,0
"Anthony Minghella made an absolutely stunning film', 'through his camera he manages to create unbelievable emotions inside you",Cinematography,0
"excellent photography', 'Stylish visual direction",Cinematography,0
I had not followed the non-existing plot at all,Story,2
"This was not enjoyable to watch.', ""Frank puts all his dreams on the back burner and gets a normal (boring!) job just so his stepson can go to film school, but his stepson decides that he'll make a humiliating documentary about the man instead."", 'The goal seems to be to make Frank appear dumb and pathetic, instead he comes across as the most human of the 3 people featured.', 'Essentially a smear campaign all dressed up as something much smarter and edgier than it really is.",Story,2
"Fleischer and cinematographer Richard H. Kline do a great job of filling the screen with interesting images and sounds', 'The use of soft, dimly lit visuals, murkily filtered, add a Stygian feel to the New York of the film",Cinematography,0
"cast led by someone besides the totally miscast and talentless Judd Nelson', 'Bill Paxton fan but he was fun to watch",Characters,1
"Ella Raines is good in the female lead role and Thomas Gomez makes a likable policeman.', 'Alan Curtis started well as the confused, innocent man, but once he is arrested his performance took a left turn as he became thoroughly unpleasant to Kansas for no reason.', 'God knows why she stuck by him.",Characters,1
she looks like she´s making a fashion magazine cover in all the shots,Cinematography,0
The acting was terrible,Characters,1
"""judge Jean Luis' (Jean-Louis Trintignant) and Valentine Dussaut (Irene Jacob)"", 'a generational conflict between the experience of a world-weary old man and the self-conscious immaturity of a nice girl', 'a spiritless misanthropist and a spontaneous girl full of good sense of unselfishness",Characters,1
"great performances by Kurt Russell and, especially, Robin Williams', ""in a brilliant manic nerd turn that's different from any of his other work""",Characters,1
"I can only describe the camera work as frenetic meets LSD.', 'there are whole segments, minutes long, where all you can see are blurred flashes and fragments of cave wall', 'the EXACT same footage of blood on the cave floor is used twice in about 90 seconds.",Cinematography,0
"The script was dreadful enough', 'how did such a bad script get the green light?",Story,2
"the film that made her a breakout star', 'Gloria plays the wife of a rich slob that continually takes her for granted', 'a Lothario comes into their lives', 'ultimately, she divorces her hubby and marries the smooth-talking Romeo', 'while the movie could have just been an overdone melodrama, it takes some interesting twists and turns and is an imaginative and fun film', 'it is a standout and deserves to be remembered",Story,2
"there are two story lines wildly different in both tone and content', 'frothy romantic comedy and a searing tragedy', 'the decision falls in the favour of Shylock",Story,2
"""Full of TV actors/actresses of 70's/80's/90's""",Characters,1
"There needs to be a likable hero or heroine.', ""This film doesn't have one."", 'The person I most identified with was the head detective.",Characters,1
"if I feel sorry for anybody in this film its decent actor Drake Bell who is put through an immense amount of embarrassment.', 'Rick Riker (Drake Bell)', 'Lou Landers (Christopher McDonald)', 'the villainous Hourglass', 'superhero needs a nemesis",Characters,1
the leads and supporting actors are in fine form and you can only feel sympathetic for their predicament especially in the final scenes.,Characters,1
nice architectural photography in the film,Cinematography,0
"This film deserves 100% for cinematography for its opening sequence.', 'The opening shot is stunning and I have not yet figured out how they did it.', 'The movie is worth watching for that shot alone!",Cinematography,0
"Matt Damon is talented and versatile', 'was just meant to play Jason Bourne', 'fully understand the character Jason Bourne and become attached and be a part of his world",Characters,1
"The highlight of the film is obviously the lengthy ballet at the end of the film based on the title music with sets and costumes in the styles of the great French Impressionist painters.', 'the DVD is well-done with fine clear graphics (when they are supposed to be)",Cinematography,0
There is some very nice scenery,Cinematography,0
"It is not, not under any form of narcotic or brain damage.', ""Having the kid fly planes into a skyscraper would've been more appropriate.""",Story,2
"Felix', 'a guy whose shoe business is folding', ""Felix's owner"", 'Ben Turpin', 'Charlie Chaplin",Characters,1
"The voyage to the New World is shot almost in complete darkness', 'The most powerful image in the film was when the ship is leaving their homeland and setting sail for the New World', 'This shot shows an overhead view of a crowd of people who slowly seem to separate from one another', 'Once they arrived in the Americas, they had to go through rather humiliating tests",Cinematography,0
"the stunning look of this film', 'one of the most beautifully photographed and designed movies', 'veteran cameraman Conrad Hall will very likely win another Oscar for his work here', 'dramatic use of red blood splattered against pale colored walls', ""preponderance of blacks, blues and grays that dominate the movie's color scheme""",Cinematography,0
"the story of Tony Montana well thanks to the superb screenplay by Oliver Stone', 'this is a film about the darker side of the American dream', 'Tony finds himself coming to America, getting it all, living the American dream and then losing it all in violent fashion",Story,2
"""The film's design seems to be the alpha and omega of some of the major issues in this country (U.S.)."", 'But what the film adds to its value is its other relationships: male v.s. female, white v.s. black, and the individual v.s. society.', 'Higher Learning gets its name in showing college as more than going to class and getting a piece of paper.",Story,2
"""silly story line that reads from a five year old's comic book"", ""the ending left it open for further rehashing of the same effects in 'People that Time Forgot'""",Story,2
The visuals range from fairly good to plain boring.,Cinematography,0
"""Wynorski's movie centres on a group of cheerleaders who, along with their teacher, mini-bus driver and a couple of guys, become stranded in the mountains during a snowstorm."", 'They make their way on foot to a deserted mountain retreat, where they find food and shelter. And a crazy killer who wants them all dead!",Story,2
"The movie all seems to take place at night, and sweat is dripping off everyone, except in one of the rare air-conditioned apartments.",Cinematography,0
"i laughed because portia was denied', 'oh antonio. antoni. just toni. i love you', 'antoni was very greasy",Characters,1
"her loving feline pets - including Duchess and her three young kittens - are the most important residents', ""We meet such friendly characters as Amelia and Abigail Gabble {two talkative geese}, Uncle Waldo {the pair's drunken relative}, Georges Hautecourt {Madam Bonfamille's ancient but sprightly lawyer} and Napoleon and Lafayette {two dim-witted hound dogs with a hunger for the butler's rump}""",Characters,1
The sparse dreamscapes were reminiscent of Wyeth paintings and amazingly effective.,Cinematography,0
the movie is absolutely perfect in describing professional bridge players and how they go about earning a living,Story,2
"Cary Elwes brings his cheeky grinning twinkle eyed presence to this movie, and does a wonderful job.', 'Richard Lewis is hilarious as the whiny, arrogant Prince John with the ever-changing mole.', 'Roger Rees as the sleazy sheriff of Rottingham is marvellously slimy and nasty.",Characters,1
"the actors are also the business owners is a double-edged sword', 'they do a very poor job of conveying those emotions",Characters,1
"amazing long shots', 'specific for Nordic cinema",Cinematography,0
the camera work and film quality are amateur at best,Cinematography,0
"fairly creepy camera-work', 'shots of ghoulish faces are done incredibly poorly",Cinematography,0
"goofy plot elements', 'The plot is full of goofy stuff', 'these monster movies all follow a similar formula', 'this one spices things up with a bit of humor ],",Story,2
"""This is her film, but she doesn't overstep her bounds as a lead."", 'SHepherd graciously allows Robert Downey Jr. to carry much of the film', ""Masterson's natural charm pretty much coasts on its own""",Characters,1
very well done camera work (nice job Mr. Lieberman!),Cinematography,0
"there was every chance of this film being slick and witty while tackling depression head on.', 'What we get instead is poorly acted hysteria dressed up with a stereotypical try hard eighties veneer.",Story,2
"the acting, while B-class, is actually quite impressive', 'Corbin Bernsen taking the lead role and doing a good job of convincing the audience that he really is a man on the edge', 'thank Brian Yuzna for casting Ken Foree in the movie",Characters,1
excellent CGI to create the best monsters ever,Cinematography,0
I still think the directing and cinematography are excellent,Cinematography,0
"The acting is really, really good.', ""Edison Chen as the Hit-man is incredible; he proves that he isn't just any pretty face."", 'Sam Lee as the obsessed cop is also outstanding.', 'The supporting cast, in short, is excellent.",Characters,1
"The movie gets to the guts of the tension between a son and a father.', 'The core issues of parenting, communication and manhood are explored indirectly.",Story,2
"Ned aKelly is such an important story to Australians but this movie is awful.', ""It's an Australian story yet it seems like it was set in America.""",Story,2
"the only likable character is killed off and the anti-hero is blamed', 'the kindly old diner manager, and the town creep', ""the mere presence of the hero's friend somehow drags a confession out of the real killer - the leering, creepy town nut"", 'his paternal regard towards Danny is not, in fact, paternal but spousal.",Characters,1
"Vital milestones of his personal life, his sexuality, his artistic style and growth, Queen, the band remain unexplored.', 'Instead delivering a tedious montage of politely clean and vastly empty comments about an enigmatic and brilliant rock legend.",Story,2
"I was anxious to see the layers being stripped away and her psyche being slowly twisted', ""we don't know exactly what the hell she's doing half the time, what she's after, or why she's doing it"", ""Dawson does point out in the Q&A is that by the end 'revenge' scene we are pumped for retribution""",Characters,1
"Not only does it have the worst male actor ever (Sly Stallone) playing the lead role', 'Sly performing even worse than his other movies', 'he was better even in Rambo III if you watch that movie as a comedy rather than action film', ""an actor who can't act A) surprised B) sad C) anything else than his basic face""",Characters,1
"""hard to evaluate the performance of the actors that don't squeeze a single word"", 'not enough room for great camera-work",Cinematography,0
"The flashback scenes of their lives are mostly in black and white, with bits of color now and then sprinkled throughout.', 'I found it interesting that only selected items were colored in the flashback scenes, with everything else in black and white.",Cinematography,0
"realistic portrayal of a mother/daughter relationship', 'connection between Adele and Ann', 'outstanding performances of both Susan Sarandon and Natalie Portman', 'Sarandon was just the right actress to portray Adele', 'Portman was also excellent as Ann', 'sense of maturity and intelligence to the role",Characters,1
"Based on a true story of how a man ahead of his time - the great 19th century American poet and humanist Walt Whitman - made a significant contribution to how western medicine treats people with psychological problems.', ""The story of Walt's interactions with psychiatric workers, patients and townsfolk is full of drama, good humor and wisdom.""",Story,2
"a lot of special effects that seems ridiculous effects in fact ],",Cinematography,0
"This is a psychological drama about the rookie and his mentor that just happens to be about killing people.', ""I was disappointed with the action towards the end - a lot of it didn't make much sense and was unsatisfying given the buildup from the rest of the movie.""",Story,2
"no one in the movie were really trying to act rather they were just being themselves', 'the entire main cast were just playing themselves",Characters,1
"the images it conveys, both powerful and sweeping",Cinematography,0
the camera work is pretty sluggish at times,Cinematography,0
"""The cell animation, while somewhat traditional, possesses a vivid style that explosively portrays Leiji Matsumoto's great talent for character design and visual storytelling.""",Cinematography,0
"""entertaining to see some of Jan de Bont's camera work""",Cinematography,0
"The story is a real morality tale, the kind that she loved to star in.', ""The controversial topics aren't always spelled out plainly; a viewer has to pay attention and pick up on hints to catch everything that is being implied on first viewing - although everything is more or less explained in the end.""",Story,2
"City Hall takes on the politics of a city rather than country, state or any sort of major political table', 'as events unfold a mystery begins and the political aspect is kind of left in the background",Story,2
"the movie was boring', 'there was no point in the movie where i said thats interesting', 'it made it look like anything in his life he did was very easy', 'there was no struggle', 'made jail look easy, selling drugs, and even rapping', ""it wasn't realistic""",Story,2
"""It's also in widescreen which helps, it gives a feeling of a real motion picture""",Cinematography,0
"Jordan Christopher-Michael is a brilliant young actor!', 'He interprets very well his character Gus on the movie.', 'Gus loses an eye, got tattoos and go at the most weird cities acting with Flea, Drew Barrymore and Meat Loaf!",Characters,1
"the entire audience gasped', 'wonderful scene-fades', 'creative camera angles', 'Mamoulian just keeps exploring the directorial medium and coming up with innovation",Cinematography,0
"the production quality is poor', 'the set area never takes on the look or feel of uber-coldness one might expect', ""it's okay that the set area never takes on the look or feel of uber-coldness""",Cinematography,0
"This movie packs a lot of story into a very short time.', 'I found the intricately woven plot to be believable and interesting.', 'the idea so much (of a wayward married man brought to redemption through trials and tribulation)",Story,2
the scenery and special effects are incredible -- the best,Cinematography,0
"Roy Scheider and Maria Conchita Alonzo do well by their roles', 'Other performances are dismissable', 'A pretty Oriental woman in a short tight skirt who totes a gun', 'Whoever plays the surviving Secret Service agent aboard the cruise ship",Characters,1
"Horses play a role in this show due to Madonna falling off one', 'at the end a website address comes up for anyone interested in donating",Story,2
The entire film is very well shot,Cinematography,0
"The plot is very easy to understand.', 'To be straight forward they find this cave. They go in the cave. They get stuck in the cave.', ""It doesn't even try to be original."", 'it also seems only Americans can survive the terror.",Story,2
"This is one of those movies.', 'It not only attacks humans, but it eats their intestines and has a bulletproof, nearly indestructible constitution.', ""How can a hypodermic needle penetrate its skin when bullets can't?"", 'Why, when the marines figure out that armor-piercing bullets can hurt it, do they split up so the chupacabra can pick them off one by one?",Story,2
"This movie always leaves me in tears.', 'The end could not be better.', ""I'm excited for The Phantom Menace because it will suddenly throw the focus of the whole story from Luke to Anakin."", 'I love how he is revealed at the end - it would be too unresolved any other way.', ""It's very effective.""",Story,2
"the college he works at wants to pull the plug on his project', 'he tries it on himself', 'an incredibly long transformation sequence that takes nearly 3/4 of the movie', ""the ending really doesn't make any sense"", 'a lack of a good payoff",Story,2
"""It's shot in a clear and crisp black and white"", 'edited and captured in a low-key yet spry and small-scale approach",Cinematography,0
"""“the killing scenes were really well done”, “the best had to be when he shoved the cell phone down the Blonde Girl's mouth”],""",Cinematography,0
"The main idea of the movie is travel into past lives which - fortunately - is not a time travel but a journey inside man which has nothing to do with the past or the future.', ""Maybe they shouldn't be called past lives at all in the film now that I think of it."", 'I believe the idea needed a little more thought, developing and unfoldment.",Story,2
"the storyline takes a really interesting twist', 'it goes from being a cliché melodrama to something entirely different, and far more entertaining than I had initially thought ],",Story,2
"Much of the photography of the countryside was beautiful, an obvious attempt at contrast with the grimy city settings.",Cinematography,0
"""although there is some good acting on the part of most you don't get into there heads especially mecbeths."", 'the best performance came from gary sweet and the strangest mick molly.",Characters,1
"""A lot of effort has been put to make 'The Edge of Love' look the right period."", 'the tone of the colours.', 'Most of the first half of the film is processed so much to have a strong bluish tone.', 'Another detrimental point is the fancy use of image splitting lens.', 'There are many scenes that have three or four images of the same thing.",Cinematography,0
"The parents in this show are nearly as irresponsible as the children.', ""This show tells the already manipulative preteens that watch it that the 'divide and conquer' technique is the best way to get their parents to 'cave.'""",Story,2
"the story is about a small town half full with Mormons and half full with Baptists', 'sends a very pro-Mormon, and sort of anti-every other religion message",Story,2
"Scenes in car and scenes in the mountains are breathtaking.', 'it was one of the first Warner like cinemas cope features, process called Warnerscope which gave a very neat cinematography.",Cinematography,0
"I also got a big kick of the Chapter Titles appearing before the chapters, especially the ones that introduce the characters as they appear on screen.",Characters,1
"the story is inane', 'the monster has no real motive for attacking civilization', ""the plan that eventually halts Gamera's rampage is completely phony and ridiculous""",Story,2
"the introduction, where John Berlin (Andy Garcia) is driving into town', ""You see his Mercedes pass on a winding road through a forest that looks like its loaded with Redwood trees. It's quite beautiful.""",Cinematography,0
"a refreshing exploitation epic for Generation-X', 'Tromeo And Juliet is the definitive edition of a rather lackluster story', ""Like in the original, there is a confusing situation, leading to Tromeo falling for Cap's daughter"", 'young lovers feel that eloping would be the best decision",Story,2
"fine lead actor, and i always like Fairuza Balk",Characters,1
"""There are some really cool shots of Harryhausen's miniatures interacting with people and horses.""",Cinematography,0
"""The cinematography was hideous, consisting of disjointed framing and some of the oddest lighting I've witnessed.""",Cinematography,0
"the shotting style was rather bland at times', 'I think it helped make the story more realistic and keep the focus on the person",Cinematography,0
"awfully cramped and claustrophobic feature', ""it feels like everyone is hunkered close together so the camera won't have to pull too far back""",Cinematography,0
"Chief Inspector Sir John. I know the guy was meant to be comic relief, but his buffoonish character has way too much screen time. ],",Characters,1
Pauly Shore has a small role which does not allow him to be as fully obnoxious as one would expect,Characters,1
"the writing is only fair', 'I really expected something more substantial in the terms of action, or plot but I got very little', 'the finale was not big enough', 'I just thought it could have ended with a little more of a bang",Story,2
"the whole thing is nearly destroyed by the rushed, sugary ending",Story,2
"Boyer is Luis Denard, a well-known concert pianist', 'Wanda Hendrix is the drudge of a girl (Else) who works for Mrs. Melendez', 'the villains are likewise also losers - frequently with their lives",Characters,1
"clever plot twists and believable character development', 'Consider this a Sports Illustrated shoot whose character goes around killing people",Story,2
"The look and feel is a lot different from many movies ],",Cinematography,0
"There are no characters in the film, but much too many plot lines - all underdeveloped and mostly superfluous.', ""Two plot lines really showed some promise (the love story and the 'company' story), but failed""",Story,2
"""weird little story about a hood's girl who finds that her past will always be with her"", ""this attempt to bring the woman's viewpoint into the genre as a tearjerker doesn't work""",Story,2
"""I couldn't believe some of the horrible dialog coming out of people's mouths."", ""It was pretty funny watching this little 'creature' in a black reptile suit with what looks like large beetle shells attached to it, running around in the dark."", ""A snake that also comes out of the container that gets hammered to death by William Fair, after the mini creature chews into Frank McDonald's neck in the kitchen.""",Characters,1
"the idea behind the film is a very good one', 'A German plastic surgeon (Bela Lugosi) was hired by the Japanese to operate on several Japanese agents and turn them into the likenesses of upstanding American businessmen', 'he was betrayed by the Japanese and thrown into prison', 'he later escapes and travels to America to seek revenge on his patients through a series of highly-publicized murders",Story,2
"this is a murder mystery/ psychological horror/suspense movie', 'the movie also has one great twist in it', 'the film also has a strong moral to it",Story,2
The acting is stock.,Characters,1
"what appalled me the most is Richard Kelly (director of Donnie Darko) did the screenplay to this.', 'terrible story and look of it.', 'all in all this film is bad.",Story,2
"my only satisfactions in this movie were observing the very attractive Jonathon Tucker, playing Jeff McIntire, grow increasingly more frazzled and distressed', 'almost all of the cast dies a horrible, gruesome death",Characters,1
"This story is about when Lisa, Snoodle, Doodle go to the Big Rock Candy Mountains.",Story,2
"this voice without a face, this unknown and threatening voice works really well in the film",Characters,1
Why are the camera angles so bad in general?,Cinematography,0
"the start of the movie sees two women (Heather Graham and Natasha Gregson Wagner)', 'Natasha Gregson Wagner is a lovely looking actress, and she plays Louise', ""he is, basically, a mummy's boy"", 'Robert Downey Jnr is one of the many things that is wasted in the film",Characters,1
The cinematography was certainly different exposing the stage aspect of the set and story.,Cinematography,0
"the way it was filmed, with the many camera cuts",Cinematography,0
"""Though i must agree that the college years aren't as good as her high school years, but that doesn't mean they weren't still good."", 'I think the ending was awesome although it was not what i hoped, it made sense and i loved it anyways.",Story,2
"Jason Lee has huge potential', 'Julia Stiles and Selma Blair are hot",Characters,1
"Jolly old Nicholas Hammond, of The sound of music fame, is brought to the TV screen as peter parker', 'peter deals with a clone, a beautiful girl from a foreign country, and a corrupt politician', ""it's also slightly disappointing that Robert. F Simon looks nothing like J.J.Jameson"", ""Betty grant isn't Betty grant, but a hot African American girl""",Characters,1
The main characters are an annoying dinosaur klutz and Whoopi Goldberg,Characters,1
"While Wayne is another victim of the distant framing in dialogue scenes, we do at least see his strong physical presence and hear his warm but assertive vocal delivery', 'He betrays his lack of experience, but the potential is clearly there', ""Also appearing in this picture is Wayne's buddy (and later prolific character actor) Ward Bond""",Characters,1
"stock characters (given some depth in fun performances by John Cusack, Joan Cusack, Marisa Tomei and Hillary Duff)', ""Cusack's character (the hit-man with a heart) tries to change his life..."", ""the do-gooder journalist who doesn't trust him (Tomei)"", 'the young Middle Eastern starlet who wants to call off her marriage (Duff)', ""Cusack's sister, Joan, plays his assistant with an almost cartoonishly enthusiastic quality."", 'Ben Kingsley seemed to me wasted in his smaller part as a ruthless CIA boss.",Characters,1
Harry had an amazing life and one of the best and distinct voices ever recorded.,Story,2
"This movie was so badly written, directed and acted that it beggars belief.",Story,2
"the unique quality of its filming', ""the most impressive element, however, is how perfectly life aboard a man-of-war en route to Australia in the early 1800's is presented""",Cinematography,0
"Guy sees interesting woman in lobby.', 'Manages to stay there and watch her under the guise of waiting for the building supervisor.', 'Guy says nothing.', 'Woman looks frightened or at least slightly disturbed.', 'Guy wanders off to bed.",Characters,1
"minimal cast', 'Dr and Rose', 'the characters start being picked off one by one",Characters,1
"the film differs from the book only in some small ways', 'it is wonderful and inspiring to watch",Story,2
characteristic lighting,Cinematography,0
"The movie seems torn between fluff and depth', 'Against the backdrop of nice, supportive Israelis and surly homophobic Palestinians we move to a resolution that is utterly lacking in motivation or purpose",Story,2
"""“The highlights of the movie are the characters and their interactions.”, “Unlike 'Holloween' (2007) we got to meet the people and care what happened to them.”, “Ben (Joel Moore, who is also the lead of 'Spiral') the sulking lead and Marcus ('Not Another Teen Movie') as the best friend and funny man to root for during the movie.”, “Shapiro (Joel Murry 'Dharma & Greg'), Jenna (Joleigh Fioreavanti) and Misty (Mercedes McNab of 'Buffy the Vampire Slayer: The Series', 'Angel: The Series' and 'The Addams Family' movies) give a convoluted reason for topless women.”, “Mr. and Mrs. Permatteo played by television regulars (Richard Riehle 'Grounded for Life', Patrika Darbo 'Step by Step') as the older couple that you know don't stand a chance, even the tour guide Shawn (Parry Shen) is a fleshed out character.”],""",Characters,1
a bunch of one-dimensional characters,Characters,1
"Zentropa is a bit disjointed in this respect', ""But I'd have to say that The Third Man has a more well-crafted storyline"", 'it is presented as a dream/nightmare, and making it too coherent would spoil the effect",Story,2
"rubbish lighting', 'grainy visuals",Cinematography,0
boring camera work,Cinematography,0
Boringly directed by William Marsh in over-saturated hues,Cinematography,0
"the opening scene consisting solely of murky intergalactic visuals', 'more murky stuff', 'many murky close-ups of an old lady', 'the movie seemed to be in some kind of loop for a while here",Cinematography,0
"The script is excellent, the story-line non-linear but easy enough to follow.",Story,2
"Jacqueline Lovell introduces a couple of her own movie scenes', 'a Polish woman who seems to have no interest in acting",Characters,1
nicely shot,Cinematography,0
"Every performance is absolutely perfect.', 'Bill Nighy has been justly complimented for his portrayal of Ray, a man who has had one too many bad trips.', 'Stephen Rea is perfect as Tony, the lovable keyboard player who has carried a torch for Karen all these years.",Characters,1
"obviously shot on video tape', 'very poorly at that",Cinematography,0
"it is humorous how bad it is', ""i've seen porno's with a better plot""",Story,2
"Everything that is seen or heard on the screen is intentionally crafted to evoke a feeling, sensation or tone.', 'The clarity of certain visuals and the crispness of certain sounds are deliberately contrasted with blurred images.",Cinematography,0
"the actors delivered up to standard', 'only one character who was nice to the girl', 'the boyfriend and the neighbor?",Characters,1
"Tony Randall works for the IRS', 'They dote on him and treat him like one of the family', 'plans on getting him hitched to their daughter, Debbie Reynolds",Characters,1
